animal_id,playgroup_status,cat_friendly,dog_friendly,people_friendly,potty_trained,special_traits
18502,0,1,1,1,1,
18510,0,1,1,1,1,
18518,0,,,1,,
18526,1,0,1,1,1,Knows basic commands
18534,0,,,1,0,
18542,0,,,0,,
18550,1,1,1,1,1,
18558,0,0,1,1,1,
18566,0,1,1,1,1,
18574,0,,,1,,
18582,0,1,1,1,1,Very playful
18590,0,1,0,1,1,Loves to cuddle
18598,1,1,1,1,1,Shy at first
18606,0,1,1,1,1,
18614,0,1,1,1,1,
18622,1,1,1,1,1,
18630,1,1,1,1,1,
18638,0,0,,,,
18646,0,1,1,1,0,
18654,0,0,1,1,1,
18662,1,1,1,1,0,
18670,0,0,0,1,1,
18678,0,1,1,1,0,
18686,0,0,0,1,1,
18694,0,1,1,1,1,
18702,0,1,1,1,1,
18710,1,1,1,1,1,
18718,0,1,0,1,1,
18726,0,0,1,1,1,
18734,0,1,1,1,1,
18742,1,1,1,1,1,
18750,0,0,1,1,1,
18758,0,1,1,1,1,
18766,1,1,1,1,1,
18774,0,1,0,1,1,
18782,1,1,1,1,0,
18790,1,1,1,1,0,
18798,0,1,0,1,0,
18806,0,1,0,1,1,
18814,0,1,0,1,1,Depression
18822,0,1,1,1,1,Obedience training
18830,1,1,1,1,1,
18838,1,0,1,1,1,Very dumb
18846,0,1,0,1,0,
18854,0,1,0,1,1,
18862,0,1,0,0,0,Full of rage
18870,0,1,0,1,1,
18878,1,0,1,1,1,Certified good boy
18886,0,1,1,1,1,
18894,1,0,1,1,1,
18902,0,0,0,0,0,
18910,0,0,0,0,0,
18918,0,1,1,1,1,
18926,0,1,0,1,1,
18934,1,0,1,1,0,
18942,0,1,1,1,1,
18950,0,1,1,1,0,
18958,1,0,1,1,1,Seperation Anxiety
18966,0,0,0,1,1,
18974,1,1,1,1,1,
18982,0,1,0,1,1,
18990,0,1,1,1,1,
18998,0,1,0,1,1,
19006,0,1,1,1,1,
19014,0,0,1,1,1,
19022,0,0,1,1,1,
19030,0,1,1,1,0,
19038,0,1,0,1,1,
19046,0,1,1,1,1,very friendly 
19054,0,0,0,1,1,
19062,0,1,0,1,0,
19070,1,0,0,1,1,
19078,0,0,1,1,1,
19086,0,1,1,1,1,
19094,0,1,1,1,1,
19102,0,1,1,1,0,
19110,0,1,0,1,0,Amazing pet
19118,0,1,1,1,1,
19126,0,1,1,0,0,
19134,0,0,1,1,1,Best Boy
19142,0,0,1,1,1,
19150,0,0,1,0,1,
19158,0,1,0,1,1,Has taken a life
19166,0,0,0,0,0,
19174,0,1,0,0,1,
19182,0,0,0,0,0,Temper issues
19190,0,1,0,0,0,
19198,0,0,1,1,0,
19206,0,1,0,1,0,
19214,0,0,0,1,1,
19222,0,0,1,1,1,
19230,0,0,0,1,0,
19238,0,0,0,0,0,
19246,0,1,1,1,1,Constantly drools
19254,0,1,0,1,0,
19262,0,1,0,0,0,
19270,0,0,0,1,0,
19278,0,0,1,1,1,
19286,0,1,1,1,1,
19294,1,0,1,1,0,
